year,month,day,hour,minute,solar_global,solar_direct,solar_diff_down,pressure,temp,kw
2020,2,9,0,45,0.0,0.0,0.0,999.46965,1.0234125000000205,
2020,2,9,1,0,0.0,0.0,0.0,999.3964,0.9923600000000192,
2020,2,9,1,15,0.0,0.0,0.0,999.372525,0.9729600000000147,
2020,2,9,1,30,0.0,0.0,0.0,999.3486499999999,0.9535600000000102,
2020,2,9,1,45,0.0,0.0,0.0,999.3247749999999,0.9341600000000057,
2020,2,9,2,0,0.0,0.0,0.0,999.3009,0.9147600000000011,0.0
2020,2,9,2,15,0.0,0.0,0.0,999.15295,0.8926350000000127,
2020,2,9,2,30,0.0,0.0,0.0,999.005,0.8705100000000243,
2020,2,9,2,45,0.0,0.0,0.0,998.8570500000001,0.8483850000000359,
2020,2,9,3,0,0.0,0.0,0.0,998.7091,0.8262600000000475,
2020,2,9,3,15,0.0,0.0,0.0,998.509325,0.7663200000000359,
2020,2,9,3,30,0.0,0.0,0.0,998.3095500000001,0.7063800000000242,
2020,2,9,3,45,0.0,0.0,0.0,998.1097750000001,0.6464400000000126,
2020,2,9,4,0,0.0,0.0,0.0,997.91,0.5865000000000009,
2020,2,9,4,15,0.0,0.0,0.0,997.8098,0.5726750000000038,
2020,2,9,4,30,0.0,0.0,0.0,997.7095999999999,0.5588500000000067,
2020,2,9,4,45,0.0,0.0,0.0,997.6094,0.5450250000000096,
2020,2,9,5,0,0.0,0.0,0.0,997.5092,0.5312000000000126,
2020,2,9,5,15,0.0,0.0,0.0,997.55694,0.4990500000000111,
2020,2,9,5,30,0.0,0.0,0.0,997.6046799999999,0.46690000000000964,
2020,2,9,5,45,0.0,0.0,0.0,997.65242,0.4347500000000082,
2020,2,9,6,0,0.0,0.0,0.0,997.70016,0.40260000000000673,
2020,2,9,6,15,0.0931472791905,0.00022125244050000002,0.09292602675,997.82633,0.35048000000000457,
2020,2,9,6,30,0.186294558381,0.00044250488100000003,0.1858520535,997.9525,0.2983600000000024,
2020,2,9,6,45,0.2794418375715,0.0006637573215,0.27877808025,998.07867,0.24624000000000024,0.3833333390454451
2020,2,9,7,0,0.372589116762,0.0008850097620000001,0.371704107,998.20484,0.19411999999999807,1.0666666797229225
2020,2,9,7,15,18.1530981875715,4.1971968573215,13.95590133025,998.1890549999999,0.22880250000000046,3.7366667191187535
2020,2,9,7,30,35.933607258380995,8.393508704880999,27.5400985535,998.1732699999999,0.26348500000000286,5.890322669859855
2020,2,9,7,45,53.7141163291905,12.589820552440498,41.12429577675,998.1574850000001,0.29816750000000525,8.210714425359454
2020,2,9,8,0,71.49462539999999,16.7861324,54.708493,998.1417,0.33285000000000764,9.522500109672546
2020,2,9,8,15,87.0063441130371,19.2014159375,67.8049281755371,998.177825,0.5747125000000182,6.386363744735718
2020,2,9,8,30,102.5180628260742,21.616699475,80.9013633510742,998.2139499999998,0.8165750000000287,8.932432599969813
2020,2,9,8,45,118.0297815391113,24.0319830125,93.9977985266113,998.2500749999999,1.0584375000000392,11.29000021616618
2020,2,9,9,0,133.5415002521484,26.447266549999995,107.0942337021484,998.2862,1.3003000000000497,9.422222384700069
2020,2,9,9,15,130.95932334438473,20.7419434125,110.21737993188472,998.28055,1.4829075000000387,10.29189210324674
2020,2,9,9,30,128.37714643662105,15.036620275000004,113.34052616162106,998.2748999999999,1.6655150000000276,13.097436073498848
2020,2,9,9,45,125.7949695288574,9.331297137500009,116.46367239135738,998.26925,1.8481225000000165,12.424138167808795
2020,2,9,10,0,123.21279262109373,3.6259740000000136,119.58681862109371,998.2636,2.0307300000000055,14.084615609584713
2020,2,9,10,15,131.10678049438474,5.0148903750000065,126.09189011938473,998.22405,2.2808900000000136,20.784091385928072
2020,2,9,10,30,139.0007683676758,6.403806750000001,132.5969616176758,998.1845,2.531050000000022,19.775555970933702
2020,2,9,10,45,146.89475624096684,7.792723124999995,139.10203311596683,998.14495,2.78121000000003,24.718605085860855
2020,2,9,11,0,154.78874411425787,9.181639499999989,145.60710461425788,998.1053999999999,3.031370000000038,19.09210568980167
2020,2,9,11,15,167.9863175378419,15.610838999999993,152.3754785378419,998.00045,3.179452500000039,17.25500042438507
2020,2,9,11,30,181.1838909614259,22.040038499999994,159.14385246142592,997.8954999999999,3.32753500000004,14.6304349899292
2020,2,9,11,45,194.38146438500993,28.469238,165.91222638500994,997.7905499999999,3.475617500000041,13.04482775721057
2020,2,9,12,0,207.57903780859397,34.8984375,172.68060030859397,997.6856,3.623700000000042,12.751428767613001
2020,2,9,12,15,185.54008889355487,26.458984375,159.08110451855487,997.614925,3.808900000000037,12.739473920119435
2020,2,9,12,30,163.50113997851577,18.01953125,145.48160872851577,997.5442499999999,3.9941000000000315,11.97894753907856
